aasen,22
aasta,2
abandon,7
abandoning,1
abandonment,82
ability,1
absence,20
absent,4
abundance,3
accelerator,1
accelerometer,2
acceptance,2
access,1
accessory,1
accident,7
accommodate,1
accordance,11
account,2
accumulation,188
accuracy,1
acetone,2
acid,44
acidisation,1
acidization,29
acidizing,8
acidwater,2
acquire,14
acquisition,39
acreage,3
act,3
acting,1
action,5
activity,13
ad,1
adamantane,1
adaptor,1
addition,168
additive,13
address,1
adequacy,3
adjustment,1
aegis,2
aeolian,1
afe,6
affinity,2
agard,1
agat,31
age,664
agent,3
aggregate,5
agip,4
agn,2
agotne,2
agreement,21
aid,13
aim,10
aimee,1
air,402
aker,18
akkar,4
aktaflo,1
aladdin,1
alarm,1
albatross,6
albert,3
albiorix,1
albuskjell,11
aldra,9
alexander,1
alfa,3
align,1
alkane,12
alke,7
alliance,3
allow,2
alpha,168
alta,22
alteration,2
alternating,1
alternative,1
aluminium,1
alun,2
alve,2
amanda,2
amber,2
ambient,1
amend,1
amendment,1
ammonium,1
amoco,4
amol,2
amount,171
amp,31
amphibolite,2
amplitude,47
amundsen,59
analogue,4
analogy,3
analyse,4
analyser,3
analysis,482
analyst,1
ancho,1
anchor,51
anchovy,1
anco,83
ancomel,1
ancoresin,1
ancotemp,13
ancoterm,2
ancotherm,6
ancovert,23
andrew,1
andrews,1
angel,1
angle,140
anhydrite,6
anisian,3
anno,2
annulus,14
anomaly,95
ansi,71
antare,6
anticline,27
antiform,2
apex,11
api,350
apollo,4
apollon,1
appearance,9
appr,1
appraisal,1032
approach,2
approx,10
apr,1
april,320
apron,1
aptian,2
aqua,19
aquacol,9
aquadril,24
aquadrill,19
aquagel,1
aquamul,1
aquifer,2
aquitaine,1
ar,1
arcade,4
arch,17
archipelago,3
arco,1
arctic,14
area,513
arenaria,2
argon,2
argyll,3
arm,2
armada,1
aromatic,1
array,1
arrival,2
artificial,1
artinskian,4
ascertain,2
asgard,1
ash,6
asha,18
askeladd,1
askja,10
aspect,1
asphalt,2
asphaltene,2
asselian,1
assemblage,1
assembly,56
assess,8
assessment,3
assignment,2
assist,3
association,4
assurance,1
asta,3
asterix,1
astero,6
asymmetric,1
atla,3
atlantis,1
atlas,2
atmosphere,1
attapulgite,1
attempt,143
attribute,1
aubrey,1
augunshaug,1
august,110
auk,1
aurelia,1
aurora,4
authigenesis,1
authority,2
authorization,1
autumn,2
availability,2
avaldsne,23
average,24
averaging,1
avo,7
avoid,2
award,3
ax,2
axis,3
ay,2
azimuth,12
azimuthal,1
back,1
background,85
bacteria,1
bag,1
bail,1
bailing,1
baker,5
balance,4
balder,247
balderbra,1
ball,5
balling,2
ballooning,1
band,12
bank,83
bar,259
bara,4
baradril,2
baraecd,1
baranex,2
barasil,3
barasilc,11
barazan,1
barchan,3
barefoot,1
barent,115
barg,1
barite,9
barium,2
bark,1
baroid,2
barrel,48
barremian,1
barren,1
barrier,64
basal,45
basalt,1
base,433
basement,291
basin,318
basis,13
basket,7
bat,98
batch,2
bathonian,5
battery,1
bbl,36
bbls,4
bcpd,1
bcu,40
bean,1
bearing,732
bed,286
bedrock,3
beerensberg,1
beginning,4
behalf,3
behavior,1
behaviour,4
bella,2
bentonite,329
bergen,98
berriasian,4
beset,1
beta,65
betveene,1
bha,19
bhc,4
bhfp,1
bhp,2
bhst,1
bht,35
bideford,7
biodegradation,6
bioevent,2
biogenic,9
bioherm,1
biomarker,5
biostratigraphy,12
biotitt,1
bioturbation,1
biscay,14
bister,2
bit,128
bituman,7
bivrost,1
bjaaland,1
bjarmeland,19
bjarmøyrenna,1
bjørgvin,25
bjørk,1
bjørn,2
bjørnøya,11
bjørnøyrenna,7
blabær,3
blane,1
blanketing,1
blaveis,1
blavola,1
bleed,8
bleeding,5
blend,1
block,549
blocky,1
blod,2
blodøks,11
blooming,1
blow,23
blowout,7
bo,1
boa,3
board,3
boarder,2
boat,4
bob,1
body,34
boiling,2
boknfjord,4
bolster,1
bond,2
bonding,3
bone,3
bonnet,3
bookmark,1
boom,3
boomerang,1
bootstrap,1
bop,139
bopd,4
border,77
borderline,1
bore,362
borehole,25
borewell,2
borg,2
borgland,46
borgny,40
borr,2
bot,1
bottle,16
bottom,171
boulder,60
bouma,1
boundary,26
bounding,7
bowmore,2
box,2
bpd,2
bpm,1
bpn,1
br,3
brack,1
brae,2
brage,30
braid,1
branch,1
brand,3
brasse,9
brattholman,1
bravo,2
brea,1
bread,1
break,33
breakage,1
breakdown,6
breakthrough,7
bream,21
breathing,1
breccia,8
breccias,1
bredford,53
breeze,1
breiflab,2
bremstein,2
bren,1
brent,987
brentgroup,1
brick,2
bridge,5
bridging,4
brine,18
broker,1
brookit,1
brookitt,3
broom,2
brown,1
brownish,3
broxin,3
brygge,14
bryne,133
brynhild,2
bryozoan,1
bsw,5
bsx,1
bt,1
bubble,37
bucentaur,2
budget,16
bue,6
buff,1
build,51
building,18
bulandet,1
bull,1
bullet,1
bulletin,1
bulliforme,2
bumper,2
bunter,4
buoy,1
burial,4
burner,1
burst,1
burton,16
